citekey,title,toolname,year,venue,artifact_type,primary_stage,primary_label,QAC1,QAC2,QAC3,QAC4,QAC5,QAC_total,secondary_labels,technique_tags,layer_tag,vuln_type,coding_basis,evidence_source,evidence_span,evidence_charspan,matched_cue,rule_id,notes,QAC_total_3,qac_basis,needs_manual_qac_review,qc_primary_single,qc_evidence_nonempty,qc_secondary_delimiter_ok,needs_abstract_review,needs_labelset_validation,tax_level1,tax_level2,tax_level3,tax_level4,tax_level5,tax_path_full,tax_alt_paths,tax_source,QAC_pass_total_ge4,QAC_threshold
ding2021hfcontractfuzzer,Hfcontractfuzzer: Fuzzing hyperledger fabric smart contracts for vulnerability detection,HFContractFuzzer,2021,Proceedings of the 25th International Conference on Evaluation and Assessment in Software Engineering,study,VM.VD,VM.VD.SC.D,1,1,0,1,1,4,,Fuzzing,Smart contract,,title-only,title,Hfcontractfuzzer: Fuzzing hyperledger fabric smart contracts for vulnerability detection,title:45-59,smart contract; fuzz; fuzzing,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Vulnerability Detection for Smart Contracts,Dynamic approach,,,Vulnerability Detection > Vulnerability Detection for Smart Contracts > Dynamic approach,,taxonomy_figure,TRUE,4
evmpatch,{EVMPatch}: Timely and Automated Patching of Ethereum Smart Contracts,EVMPATCH,2021,30th USENIX Security Symposium (USENIX Security '21) [To be published],study,VM.VR,VM.VR.SCR,1,1,1,1,1,5,,,Smart contract,,title-only,title,{EVMPatch}: Timely and Automated Patching of Ethereum Smart Contracts,title:33-41,patching; smart contract; ethereum; evm; patch,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Repair,Smart contract repair,,,,Vulnerability Repair > Smart contract repair,,taxonomy_figure,TRUE,4
gui2021uafsan,UAFSan: an object-identifier-based dynamic approach for detecting use-after-free vulnerabilities,UAFSan,2021,Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis,method/tool,VM.VD,VM.VD.LSVD.SYS.UAF,1,1,1,1,0,4,,Dynamic analysis,System,UAF,title-only,title,UAFSan: an object-identifier-based dynamic approach for detecting use-after-free vulnerabilities,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,System layer,Use-after-free vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > System layer > Use-after-free vulnerabilities,,taxonomy_figure,TRUE,4
guo2021key,Key aspects augmentation of vulnerability description based on multiple security databases,Guo et al.,2021,"2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)",dataset/benchmark,,,1,1,0,1,1,4,,,,,resource,title,Key aspects augmentation of vulnerability description based on multiple security databases,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Vulnerability Analysis,Artifact Analysis,,,,Vulnerability Analysis > Artifact Analysis,,taxonomy_figure,TRUE,4
hu2021achyb,ACHyb: A hybrid analysis approach to detect kernel access control vulnerabilities,ACHyb,2021,Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,method/tool,VM.VD,VM.VD.LSVD.SYS.KERNEL,1,1,1,1,1,5,,,System,,title-only,title,ACHyb: A hybrid analysis approach to detect kernel access control vulnerabilities,,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,System layer,Kernel-related vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > System layer > Kernel-related vulnerabilities,,taxonomy_figure,TRUE,4
hu2021automated,Automated discovery of $\{$Denial-of-Service$\}$ vulnerabilities in connected vehicle protocols,CVAnalyzer,2021,30th USENIX Security Symposium (USENIX Security 21),study,unclear,unclear,1,1,1,0,1,4,,,Network,,title-only,title,Automated discovery of $\{$Denial-of-Service$\}$ vulnerabilities in connected vehicle protocols,,,R3,Title-only evidence insufficient for stage; keep as unclear.,0,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Network layer,DoS vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Network layer > DoS vulnerabilities,,taxonomy_figure,TRUE,4
le2021deepcva,Deepcva: Automated commit-level vulnerability assessment with deep multi-task learning,DeepCVA; DeepCVA commit-level set,2021,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),study,VM.FI,VM.FI.MG,1,1,1,1,1,5,VM.VA;VM.VD,,,,title-only,title,Deepcva: Automated commit-level vulnerability assessment with deep multi-task learning,title:19-31,commit-level; assessment; commit,R2,"Multiple stage cues in title: VM.FI, VM.VA, VM.VD; primary chosen by heuristic.",2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Analysis,Assessment and Prioritization,,,,Vulnerability Analysis > Assessment and Prioritization,,taxonomy_figure,TRUE,4
li2021detecting,Detecting node. js prototype pollution vulnerabilities via object lookup analysis,ObjLupAnsys,2021,Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,study,VM.VD,VM.VD.GVD,1,1,1,1,1,5,,,,,title-only,title,Detecting node. js prototype pollution vulnerabilities via object lookup analysis,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Ecosystem-specific vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Ecosystem-specific vulnerabilities,,taxonomy_figure,TRUE,4
li2021sysevr,Sysevr: A framework for using deep learning to detect software vulnerabilities,SySeVR,2021,IEEE Transactions on Dependable and Secure Computing,method/tool,VM.VD,VM.VD.LSVD.MW.JAVA,1,1,1,1,0,4,,,Middleware,,title-only,title,Sysevr: A framework for using deep learning to detect software vulnerabilities,,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Graph-to-sequence representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Graph-to-sequence representation,,taxonomy_figure,TRUE,4
li2021vuldeelocator,Vuldeelocator: a deep learning-based fine-grained vulnerability detector,VulDeeLocator,2021,IEEE Transactions on Dependable and Secure Computing,study,VM.VD,VM.VD.GVD,1,1,1,1,1,5,,,,,title-only,title,Vuldeelocator: a deep learning-based fine-grained vulnerability detector,,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Graph-to-sequence representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Graph-to-sequence representation,,taxonomy_figure,TRUE,4
li2021vulnerability,Vulnerability detection with fine-grained interpretations,IVDetect,2021,Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,study,VM.VD,VM.VD.GVD,1,1,1,1,0,4,VM.VA,,,,title-only,title,Vulnerability detection with fine-grained interpretations,title:42-51,interpret,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Graph representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Graph representation,,taxonomy_figure,TRUE,4
liu2021combining,Combining graph neural networks with expert knowledge for smart contract vulnerability detection,Liu et al.,2021,IEEE Transactions on Knowledge and Data Engineering,study,VM.VD,VM.VD.SC.S,1,0,1,1,1,4,,GNN; Program graphs,Smart contract,,title-only,title,Combining graph neural networks with expert knowledge for smart contract vulnerability detection,title:58-72,smart contract; graph neural,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Vulnerability Detection for Smart Contracts,Static approach,,,Vulnerability Detection > Vulnerability Detection for Smart Contracts > Static approach,,taxonomy_figure,TRUE,4
liu2021revealer,Revealer: Detecting and exploiting regular expression denial-of-service vulnerabilities,REVEALER,2021,2021 IEEE Symposium on Security and Privacy \(SP\),study,VM.VD,VM.VD.GVD,1,0,1,1,1,4,,,,,title-only,title,Revealer: Detecting and exploiting regular expression denial-of-service vulnerabilities,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Network layer,ReDoS vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Network layer > ReDoS vulnerabilities,,taxonomy_figure,TRUE,4
liu2021smart,Smart contract vulnerability detection: from pure neural network to interpretable graph feature and expert pattern fusion,Liu et al.,2021,arXiv preprint arXiv:2106.09282,study,VM.VD,VM.VD.SC.S,0,1,1,1,1,4,VM.VA,Program graphs,Smart contract,,title-only,title,Smart contract vulnerability detection: from pure neural network to interpretable graph feature and expert pattern fusion,title:68-77,interpret; interpretable; smart contract,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Vulnerability Detection for Smart Contracts,Static approach,,,Vulnerability Detection > Vulnerability Detection for Smart Contracts > Static approach,,taxonomy_figure,TRUE,4
ma2021pluto,Pluto: Exposing vulnerabilities in inter-contract scenarios,Pluto,2021,IEEE Transactions on Software Engineering,study,unclear,unclear,0,1,1,1,1,4,,,System,,title-only,title,Pluto: Exposing vulnerabilities in inter-contract scenarios,,,R3,Title-only evidence insufficient for stage; keep as unclear.,0,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Vulnerability Detection for Smart Contracts,Static approach,,,Vulnerability Detection > Vulnerability Detection for Smart Contracts > Static approach,,taxonomy_figure,TRUE,4
melicher2021towards,"Towards a lightweight, hybrid approach for detecting DOM XSS vulnerabilities with machine learning",Melicher et al.,2021,Proceedings of the web conference 2021,method/tool,VM.VD,VM.VD.LSVD.APP.XSS,1,1,1,1,1,5,,,Application,XSS,title-only,title,"Towards a lightweight, hybrid approach for detecting DOM XSS vulnerabilities with machine learning",,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,XSS vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > XSS vulnerabilities,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Web-facing vulnerabilities,taxonomy_figure,TRUE,4
moukahal2021vulnerability,Vulnerability-oriented fuzz testing for connected autonomous vehicle systems,VulFuzz,2021,IEEE transactions on reliability,method/tool,VM.VD,VM.VD.GVD.D.FUZZ,1,1,1,1,1,5,,Fuzzing,,,title-only,title,Vulnerability-oriented fuzz testing for connected autonomous vehicle systems,title:23-27,fuzz,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Dynamic approach,Fuzzing,,Vulnerability Detection > General Vulnerability Detection > Dynamic approach > Fuzzing,,taxonomy_figure,TRUE,4
sharma2021software,Software vulnerability prioritization using vulnerability description,Sharma et al.,2021,International Journal of System Assurance Engineering and Management,study,VM.VD,VM.VD.GVD,1,1,1,1,0,4,VM.VA,,,,title-only,title,Software vulnerability prioritization using vulnerability description,title:23-30,priorit,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Analysis,Assessment and Prioritization,,,,Vulnerability Analysis > Assessment and Prioritization,,taxonomy_figure,TRUE,4
shcherbakov2021serialdetector,Serialdetector: Principled and practical exploration of object injection vulnerabilities for the web,SerialDetector,2021,Network and Distributed Systems Security (NDSS) Symposium 202121-24 February 2021,dataset/benchmark,,,1,1,1,1,1,5,,,,,resource,title,Serialdetector: Principled and practical exploration of object injection vulnerabilities for the web,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Web-facing vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Web-facing vulnerabilities,,taxonomy_figure,TRUE,4
tan2021locating,Locating the security patches for disclosed oss vulnerabilities with vulnerability-commit correlation ranking,PatchScout,2021,Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security,study,VM.FI,VM.FI.PF,1,1,1,0,1,4,VM.VA;VM.VD,,System,,title-only,title,Locating the security patches for disclosed oss vulnerabilities with vulnerability-commit correlation ranking,title:0-8,locating; ranking; rank; patch; commit,R2,"Multiple stage cues in title: VM.FI, VM.VA, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Fix Identification,Patch Finding,,,,Fix Identification > Patch Finding,,taxonomy_figure,TRUE,4
walkowski2021vulnerability,Vulnerability management models using a common vulnerability scoring system,Walkowski et al.,2021,Applied Sciences,method/tool,VM.VD,VM.VD.GVD,1,1,1,1,0,4,,,,,title-only,title,Vulnerability management models using a common vulnerability scoring system,,,,,0,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Analysis,Assessment and Prioritization,,,,Vulnerability Analysis > Assessment and Prioritization,,taxonomy_figure,TRUE,4
wang2021patchdb,Patchdb: A large-scale security patch dataset,PatchDB,2021,2021 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),dataset/benchmark,,,0,1,1,1,1,4,,,,,resource,title,Patchdb: A large-scale security patch dataset,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
wang2021patchrnn,PatchRNN: A Deep Learning-Based System for Security Patch Identification,PatchRNN,2021,MILCOM 2021 - 2021 IEEE Military Communications Conference (MILCOM),method/tool,unclear,unclear,0,1,1,1,1,4,,Token encoder,,,title-only,title,PatchRNN: A Deep Learning-Based System for Security Patch Identification,title:0-5,patch,R3,Title-only evidence insufficient for stage; keep as unclear.,2,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fix Identification,Commit-level identification,,,,Fix Identification > Commit-level identification,,taxonomy_figure,TRUE,4
woo2021v0finder,$\{$V0Finder$\}$: Discovering the correct origin of publicly reported software vulnerabilities,V0Finder,2021,30th USENIX Security Symposium (USENIX Security 21),study,VM.VD,VM.VD.GVD,1,1,1,1,0,4,,,,,title-only,title,$\{$V0Finder$\}$: Discovering the correct origin of publicly reported software vulnerabilities,,,,,0,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Graph analysis,,Vulnerability Detection > General Vulnerability Detection > Static approach > Graph analysis,,taxonomy_figure,TRUE,4
yitagesu2021unsupervised,Unsupervised labeling and extraction of phrase-based concepts in vulnerability descriptions,Yitagesu et al.; TVD/TVDC,2021,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),study,VM.VD,VM.VD.GVD,1,1,0,1,1,4,,,,,title-only,title,Unsupervised labeling and extraction of phrase-based concepts in vulnerability descriptions,,,,,0,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Analysis,Artifact Analysis,,,,Vulnerability Analysis > Artifact Analysis,,taxonomy_figure,TRUE,4
yu2021detecting,Detecting concurrency vulnerabilities based on partial orders of memory and thread events,ConVulPOE,2021,Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,study,VM.VD,VM.VD.LSVD.SYS,1,1,1,1,1,5,,,System,Concurrency,title-only,title,Detecting concurrency vulnerabilities based on partial orders of memory and thread events,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Memory-related vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Memory-related vulnerabilities,,taxonomy_figure,TRUE,4
zeng2021licality,Licalityâlikelihood and criticality: Vulnerability risk prioritization through logical reasoning and deep learning,LICALITY,2021,IEEE Transactions on Network and Service Management,study,VM.VD,VM.VD.GVD,1,1,1,0,1,4,VM.VA,,,,title-only,title,Licalityâlikelihood and criticality: Vulnerability risk prioritization through logical reasoning and deep learning,title:58-65,priorit; risk,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Analysis,Assessment and Prioritization,,,,Vulnerability Analysis > Assessment and Prioritization,,taxonomy_figure,TRUE,4
zhan2021atvhunter,Atvhunter: Reliable version detection of third-party libraries for vulnerability identification in android applications,ATVHUNTER,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),study,VM.VD,VM.VD.LSVD.MW.JAVA,1,1,1,1,1,5,,,Middleware,,title-only,title,Atvhunter: Reliable version detection of third-party libraries for vulnerability identification in android applications,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Ecosystem-specific vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Ecosystem-specific vulnerabilities,,taxonomy_figure,TRUE,4
zhang2021VULSPG,Vu1SPG: Vulnerability detection based on slice property graph representation learning,VulSPG,2021,2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE),study,VM.VD,VM.VD.GVD.S.LB.GRAPH,1,1,0,1,1,4,,Program graphs,,,title-only,title,Vu1SPG: Vulnerability detection based on slice property graph representation learning,,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Graph representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Graph representation,,taxonomy_figure,TRUE,4
zhang2021statically,Statically discovering high-order taint style vulnerabilities in os kernels,Zhang et al.,2021,Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security,study,unclear,unclear,1,0,1,1,1,4,,Static analysis; Taint analysis,System,,title-only,title,Statically discovering high-order taint style vulnerabilities in os kernels,,,R3,Title-only evidence insufficient for stage; keep as unclear.,2,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,System layer,Kernel-related vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > System layer > Kernel-related vulnerabilities,,taxonomy_figure,TRUE,4
zheng2021d2a,D2a: A dataset built for ai-based vulnerability detection methods using differential analysis,D2A,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),dataset/benchmark,,,0,1,1,1,1,4,,,,,resource,title,D2a: A dataset built for ai-based vulnerability detection methods using differential analysis,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
zhou2021spi,SPI: Automated Identification of Security Patches via Commits,SPI,2021,ACM Trans. Softw. Eng. Methodol.,study,unclear,unclear,1,1,0,1,1,4,,,,,title-only,title,SPI: Automated Identification of Security Patches via Commits,title:42-47,patch; commit,R3,Title-only evidence insufficient for stage; keep as unclear.,1,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fix Identification,Commit-level identification,,,,Fix Identification > Commit-level identification,,taxonomy_figure,TRUE,4
zou2021DLVD,Interpreting Deep Learning-based Vulnerability Detector Predictions Based on Heuristic Searching,mVulPreter,2021,ACM Trans. Softw. Eng. Methodol.,study,VM.VD,VM.VD.GVD,1,1,1,1,0,4,VM.VA,,,,title-only,title,Interpreting Deep Learning-based Vulnerability Detector Predictions Based on Heuristic Searching,title:0-9,interpret,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Sequence representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Sequence representation,,taxonomy_figure,TRUE,4
zou_2021_dataset9,$\mu$VulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection,$\mu$VulDeePecker,2021,IEEE Transactions on Dependable and Secure Computing,method/tool,VM.VD,VM.VD.GVD,1,0,1,1,1,4,,,,,title-only,title,$\mu$VulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection,,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Sequence representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Sequence representation,,taxonomy_figure,TRUE,4
2022_meng_b11,Automatic Classification of Bug Reports Based on Multiple Text Information and Reportsâ?Intention,CBRD,2022,Theoretical Aspects of Software Engineering,study,VM.SBI,VM.SBI,1,0,1,1,1,4,,,,,title-only,title,Automatic Classification of Bug Reports Based on Multiple Text Information and Reportsâ?Intention,title:28-38,bug report,,,0,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Security Bug Identification,,,,,Security Bug Identification,,primary_label_code,TRUE,4
2022_zheng_b10,Domain knowledge-based security bug reports prediction,DKBA,2022,Knowledge-Based Systems,study,VM.SBI,VM.SBI,1,1,1,1,0,4,VM.VD,,,,title-only,title,Domain knowledge-based security bug reports prediction,title:32-42,bug report; security bug,R1,"Multiple stage cues in title: VM.SBI, VM.VD; primary chosen by heuristic.",0,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Security Bug Identification,Learning-based,,,,Security Bug Identification > Learning-based,,taxonomy_figure,TRUE,4
Amouei_2022_rat,RAT: Reinforcement-Learning-Driven and Adaptive Testing for Vulnerability Discovery in Web Application Firewalls,RAT,2022,IEEE Transactions on Dependable and Secure Computing,study,VM.VD,VM.VD.LSVD.APP.WEB,1,1,1,1,0,4,,,Application,,title-only,title,RAT: Reinforcement-Learning-Driven and Adaptive Testing for Vulnerability Discovery in Web Application Firewalls,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Web-facing vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Web-facing vulnerabilities,,taxonomy_figure,TRUE,4
HERMES_2022,HERMES: Using Commit-Issue Linking to Detect Vulnerability-Fixing Commits,HERMES,2022,"2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",study,VM.FI,VM.FI.PF,0,1,1,1,1,4,VM.VD,,,,title-only,title,HERMES: Using Commit-Issue Linking to Detect Vulnerability-Fixing Commits,title:59-72,fixing commit; fixing commits; commit,R1,"Multiple stage cues in title: VM.FI, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Fix Identification,Commit-level identification,,,,Fix Identification > Commit-level identification,,taxonomy_figure,TRUE,4
MA2022CASMS,CASMS: Combining clustering with attention semantic model for identifying security bug reports,CASMS,2022,Information and Software Technology,study,VM.SBI,VM.SBI,1,1,1,1,1,5,,,,,title-only,title,CASMS: Combining clustering with attention semantic model for identifying security bug reports,title:83-93,bug report; security bug,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Security Bug Identification,Learning-based,,,,Security Bug Identification > Learning-based,,taxonomy_figure,TRUE,4
PVR_2022,Program vulnerability repair via inductive inference,VulnFix,2022,Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis,study,VM.VR,VM.VR,1,1,0,1,1,4,VM.VD,,,,title-only,title,Program vulnerability repair via inductive inference,title:22-28,repair; vulnerability repair,R1,"Multiple stage cues in title: VM.VR, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Repair,Fuzzing-driven repair,,,,Vulnerability Repair > Fuzzing-driven repair,,taxonomy_figure,TRUE,4
RegexReDoS_2022,Repairing DoS Vulnerability of Real-World Regexes,REMEDY,2022,,study,VM.VR,VM.VR,1,1,1,1,1,5,VM.VD,,Network,DoS,title-only,title,Repairing DoS Vulnerability of Real-World Regexes,title:0-6,repair,R1,"Multiple stage cues in title: VM.VR, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Repair,Constraint-guided repair,,,,Vulnerability Repair > Constraint-guided repair,,taxonomy_figure,TRUE,4
Tracer_2022,Tracking patches for open source software vulnerabilities,Tracer,2022,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,study,unclear,unclear,1,1,1,1,1,5,,,,,title-only,title,Tracking patches for open source software vulnerabilities,title:9-14,patch,R3,Title-only evidence insufficient for stage; keep as unclear.,1,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fix Identification,Patch Finding,,,,Fix Identification > Patch Finding,,taxonomy_figure,TRUE,4
VulCurator_2022,VulCurator: a vulnerability-fixing commit detector,VulCurator,2022,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,study,VM.FI,VM.FI.PF,0,1,1,1,1,4,VM.VD,,,,title-only,title,VulCurator: a vulnerability-fixing commit detector,title:28-41,fixing commit; commit,R1,"Multiple stage cues in title: VM.FI, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Fix Identification,Commit-level identification,,,,Fix Identification > Commit-level identification,,taxonomy_figure,TRUE,4
VulFixMiner_2022,Finding a needle in a haystack: automated mining of silent vulnerability fixes,VulFixMiner,2022,Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering,study,VM.VD,VM.VD.LSVD.NET.IMPL,1,1,1,1,1,5,,,Network,,title-only,title,Finding a needle in a haystack: automated mining of silent vulnerability fixes,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Fix Identification,Silent fix identification,,,,Fix Identification > Silent fix identification,,taxonomy_figure,TRUE,4
Wu2022Data,Data Quality Matters: A Case Study on Data Label Correctness for Security Bug Report Prediction,CBSBR,2022,IEEE Transactions on Software Engineering,study,VM.SBI,VM.SBI,0,1,1,1,1,4,VM.VD,,,,title-only,title,Data Quality Matters: A Case Study on Data Label Correctness for Security Bug Report Prediction,title:74-84,bug report; security bug,R1,"Multiple stage cues in title: VM.SBI, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Security Bug Identification,,,,,Security Bug Identification,,primary_label_code,TRUE,4
cao2022mvd,MVD: memory-related vulnerability detection based on flow-sensitive graph neural networks,MVD,2022,Proceedings of the 44th international conference on software engineering,study,VM.VD,VM.VD.LSVD.NET.IMPL,1,1,1,1,0,4,,GNN; Program graphs,Network,,title-only,title,MVD: memory-related vulnerability detection based on flow-sensitive graph neural networks,title:68-80,graph neural,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Memory-related vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Memory-related vulnerabilities,,taxonomy_figure,TRUE,4
